fbref,name,transfermarkt,url
fb59286d,Milos Jojic,160285,/milos-jojic/profil/spieler/160285
fb5d47b3,Mario Gaspar,73250,/mario-gaspar/profil/spieler/73250
fb614c44,James Justin,413220,/james-justin/profil/spieler/413220
fb77bfef,Kevin Bonifazi,247377,/kevin-bonifazi/profil/spieler/247377
fb938d24,Jesus Corona,125165,/jesus-corona/profil/spieler/125165
fba81826,Federico Mattiello,200194,/federico-mattiello/profil/spieler/200194
fbbb9269,Youssouf Sabaly,135492,/youssouf-sabaly/profil/spieler/135492
fbbc8e15,Noah Joel Sarenren Bazee,283001,/noah-joel-sarenren-bazee/profil/spieler/283001
fbd6378b,Aissa Mandi,80293,/aissa-mandi/profil/spieler/80293
fbefefdb,Fabian Giefer,53408,/fabian-giefer/profil/spieler/53408
fbf76716,Yassine Benrahou,344599,/yassine-benrahou/profil/spieler/344599
fbffc4b1,Jeffrey Bruma,88721,/jeffrey-bruma/profil/spieler/88721
fc027d02,Luke Thomas,505194,/luke-thomas/profil/spieler/505194
fc15fb84,Dwight McNeil,584769,/dwight-mcneil/profil/spieler/584769
fc166e49,Sullay Kaikai,244130,/sullay-kaikai/profil/spieler/244130
fc1cf07a,Michael Ngadeu Ngadjui,227239,/michael-ngadeu-ngadjui/profil/spieler/227239
fc46aab1,Lovro Majer,387106,/lovro-majer/profil/spieler/387106
fc4cf6a7,Jordan Lotomba,313094,/jordan-lotomba/profil/spieler/313094
fc4f85b1,Diego Godin,54928,/diego-godin/profil/spieler/54928
fc62f087,Abdou Diallo,229005,/abdou-diallo/profil/spieler/229005
fc647b34,Oscar Trejo,30321,/oscar-trejo/profil/spieler/30321
fc70e345,Stole Dimitrievski,165467,/stole-dimitrievski/profil/spieler/165467
fc8b614b,Jose Pozo,195605,/jose-pozo/profil/spieler/195605
fc8cb238,Andoni Lopez,340206,/andoni-lopez/profil/spieler/340206
fc93fdf1,Charlison Benschop,66783,/charlison-benschop/profil/spieler/66783
fca455cc,Facundo Piriz,148607,/facundo-piriz/profil/spieler/148607
fcab00a0,Conor Hourihane,61653,/conor-hourihane/profil/spieler/61653
fcb27134,Mohamed Simakan,666234,/mohamed-simakan/profil/spieler/666234
fcb38f57,Mike Maignan,182906,/mike-maignan/profil/spieler/182906
fcbcbd94,Moussa Konate,192774,/moussa-konate/profil/spieler/192774
fcd20025,Angelo Ndrecka,539220,/angelo-ndrecka/profil/spieler/539220
fce2302c,Kieran Tierney,300716,/kieran-tierney/profil/spieler/300716
fd14b16c,Aniss El Hriti,233858,/aniss-el-hriti/profil/spieler/233858
fd2bc67d,Dante,16136,/dante/profil/spieler/16136
fd3f57ce,Jason Puncheon,47995,/jason-puncheon/profil/spieler/47995
fd47b4f2,Rodrigo Ely,176140,/rodrigo-ely/profil/spieler/176140
fd4ee68b,Andre Simoes,131574,/andre-simoes/profil/spieler/131574
fd51b456,Lucas Vazquez,221316,/lucas-vazquez/profil/spieler/221316
fd53759d,Jan Thielmann,472249,/jan-thielmann/profil/spieler/472249
fd5888a0,Floyd Ayite,77974,/floyd-ayite/profil/spieler/77974
fd771f95,Martin Braithwaite,95732,/martin-braithwaite/profil/spieler/95732
fd7768be,Elis Isufi,346889,/elis-isufi/profil/spieler/346889
fd834d1d,Tiago Sa,286908,/tiago-sa/profil/spieler/286908
fd9c4805,Pione Sisto,252641,/pione-sisto/profil/spieler/252641
fdd5d298,Kaylen Hinds,290788,/kaylen-hinds/profil/spieler/290788
fdd60087,Santiago Arias,120443,/santiago-arias/profil/spieler/120443
fdd85f94,Davy Propper,79027,/davy-propper/profil/spieler/79027
fdf3cb77,Vladimir Coufal,157672,/vladimir-coufal/profil/spieler/157672
fe006f82,Johan Larsson,140678,/johan-larsson/profil/spieler/140678
fe012aca,Jeremie Boga,216569,/jeremie-boga/profil/spieler/216569
fe05804b,Cala,67089,/juan-cala/profil/spieler/67089
fe154b26,Salih Ucan,170838,/salih-ucan/profil/spieler/170838
fe2d2289,Giannis Gianniotas,136643,/giannis-gianniotas/profil/spieler/136643
fe2db476,Lukasz Piszczek,25727,/lukasz-piszczek/profil/spieler/25727
fe471a89,Lorenzo Andrenacci,234880,/lorenzo-andrenacci/profil/spieler/234880
fe479e17,Luigi Vitale,80158,/luigi-vitale/profil/spieler/80158
fe48a073,Giuseppe Rossi,19104,/giuseppe-rossi/profil/spieler/19104
fe641c1a,Thomas Delaney,91849,/thomas-delaney/profil/spieler/91849
fe6a7685,Andrea Cistana,337381,/andrea-cistana/profil/spieler/337381
fe6c830a,Mario Rondon,119272,/mario-rondon/profil/spieler/119272
fe85a764,Robert Mudrazija,339584,/robert-mudrazija/profil/spieler/339584
fe888e39,Laszlo Benes,243188,/laszlo-benes/profil/spieler/243188
fe8e6fa1,Henri Lansbury,44794,/henri-lansbury/profil/spieler/44794
feb5d3ab,Dennis Appiah,111038,/dennis-appiah/profil/spieler/111038
fec5accc,Aleksandr Kokorin,89086,/aleksandr-kokorin/profil/spieler/89086
fecd43a3,Marcel Heister,109830,/marcel-heister/profil/spieler/109830
fed17f5a,Carlos Soler,372246,/carlos-soler/profil/spieler/372246
fed5f993,Danilo Larangeira,32816,/danilo/profil/spieler/32816
fed7cb61,Kai Havertz,309400,/kai-havertz/profil/spieler/309400
fed96827,Chris Mepham,480987,/chris-mepham/profil/spieler/480987
ff0ab48c,Leo Dubois,236400,/leo-dubois/profil/spieler/236400
ff120e44,Siriki Sanogo,539612,/siriki-sanogo/profil/spieler/539612
ff16ecad,Mathieu Deplagne,127128,/mathieu-deplagne/profil/spieler/127128
ff182fdc,Ishak Belfodil,111039,/ishak-belfodil/profil/spieler/111039
ff20acfe,Cheikh Niasse,644032,/cheikh-niasse/profil/spieler/644032
ff219f73,Gian Filippo Felicioli,290733,/gian-filippo-felicioli/profil/spieler/290733
ff3a6a60,Eddy Sylvestre,629566,/eddy-sylvestre/profil/spieler/629566
ff45add5,Alfredo Morales,58500,/alfredo-morales/profil/spieler/58500
ff527768,Mark Noble,31835,/mark-noble/profil/spieler/31835
ff579c7e,Nikola Moro,316934,/nikola-moro/profil/spieler/316934
ff5ea0bf,Malick Thiaw,521964,/malick-thiaw/profil/spieler/521964
ff764de3,Yevhen Shakhov,58970,/yevgen-shakhov/profil/spieler/58970
ff800ed8,Pol Lirola,298975,/pol-lirola/profil/spieler/298975
ff8f26ef,Marc Pedraza,72319,/marc-pedraza/profil/spieler/72319
ff98492b,Robert Skov,270393,/robert-skov/profil/spieler/270393
ff9fcd4d,Alex Pritchard,200777,/alex-pritchard/profil/spieler/200777
ffa90327,Anwar El Ghazi,183720,/anwar-el-ghazi/profil/spieler/183720
ffad706e,Javi Lopez,72310,/javi-lopez/profil/spieler/72310
ffbbc83b,Florian Grillitsch,195736,/florian-grillitsch/profil/spieler/195736
ffec9769,Islam Slimani,174915,/islam-slimani/profil/spieler/174915
2e5e846d,Deyverson,243541,/deyverson/profil/spieler/243541
9f351459,Jota,176591,/jota-peleteiro/profil/spieler/176591
d637fc22,Rodrigo Battaglia,89297,/rodrigo-battaglia/profil/spieler/89297
46359159,Jimmy Cabot,206912,/jimmy-cabot/profil/spieler/206912
526ea7cc,Amos Pieper,334221,/amos-pieper/profil/spieler/334221
5569bf9a,Anderson Lucoqui,240274,/anderson-lucoqui/profil/spieler/240274
f0a37d36,Cedric Brunner,147038,/cedric-brunner/profil/spieler/147038
e21042ae,Fabian Klos,78147,/fabian-klos/profil/spieler/78147
d25fee56,Fabian Kunze,334186,/fabian-kunze/profil/spieler/334186
c0d3bd23,Jacob Barrett-Laursen,185164,/jacob-barrett-laursen/profil/spieler/185164
c562c5b4,Joakim Nilsson,216804,/joakim-nilsson/profil/spieler/216804
