,match_stats_key,match_id,possession_x,possession_y,fouls_x,fouls_y,corners_x,corners_y,crosses_x,crosses_y,touches_x,touches_y,tackles_x,tackles_y,interceptions_x,interceptions_y,aerials_won_x,aerials_won_y,clearances_x,clearances_y,offsides_x,offsides_y,goal_kicks_x,goal_kicks_y,throw_ins_x,throw_ins_y,long_balls_x,long_balls_y
1846,1846,bed05936,0.42,0.58,13.0,24.0,3.0,3.0,15.0,7.0,609.0,804.0,19.0,19.0,9.0,6.0,7.0,13.0,9.0,18.0,2.0,1.0,8.0,4.0,18.0,19.0,48.0,45.0
1847,1847,1163ec4a,0.34,0.66,10.0,15.0,3.0,7.0,10.0,24.0,489.0,765.0,16.0,17.0,12.0,4.0,24.0,12.0,32.0,12.0,0.0,1.0,4.0,5.0,22.0,36.0,61.0,61.0
1848,1848,b9d1d1a7,0.43,0.57,12.0,14.0,5.0,4.0,19.0,8.0,506.0,639.0,20.0,21.0,9.0,4.0,18.0,15.0,18.0,25.0,0.0,1.0,6.0,11.0,26.0,30.0,63.0,63.0
1849,1849,5e599d06,0.42,0.58,15.0,11.0,4.0,5.0,19.0,11.0,501.0,655.0,27.0,16.0,8.0,3.0,24.0,18.0,22.0,23.0,2.0,0.0,10.0,8.0,18.0,27.0,66.0,56.0
1850,1850,d50390a8,0.57,0.43,18.0,18.0,7.0,5.0,16.0,19.0,618.0,504.0,12.0,17.0,8.0,8.0,36.0,25.0,28.0,34.0,2.0,3.0,4.0,8.0,22.0,21.0,55.0,76.0
1851,1851,473db5a3,0.69,0.31,8.0,14.0,4.0,3.0,16.0,2.0,789.0,432.0,14.0,21.0,2.0,6.0,29.0,30.0,10.0,36.0,2.0,3.0,8.0,13.0,27.0,19.0,68.0,84.0
1852,1852,223124ce,0.52,0.48,8.0,15.0,3.0,11.0,6.0,12.0,579.0,560.0,18.0,15.0,5.0,3.0,17.0,14.0,24.0,32.0,3.0,2.0,4.0,9.0,17.0,17.0,51.0,68.0
1853,1853,e8b74ca0,0.63,0.37,13.0,22.0,4.0,5.0,19.0,7.0,600.0,383.0,12.0,15.0,6.0,8.0,18.0,18.0,43.0,32.0,2.0,0.0,3.0,10.0,24.0,31.0,60.0,69.0
1854,1854,733c0243,0.62,0.38,16.0,10.0,6.0,0.0,16.0,7.0,819.0,539.0,19.0,17.0,8.0,16.0,9.0,9.0,10.0,17.0,1.0,3.0,7.0,8.0,19.0,17.0,55.0,49.0
1855,1855,a58df282,0.38,0.63,19.0,11.0,3.0,4.0,15.0,9.0,462.0,698.0,20.0,16.0,19.0,7.0,11.0,30.0,22.0,44.0,5.0,4.0,12.0,4.0,21.0,18.0,59.0,47.0
1856,1856,a1a20337,0.46,0.54,11.0,12.0,3.0,5.0,10.0,13.0,601.0,707.0,18.0,13.0,5.0,9.0,17.0,14.0,14.0,20.0,0.0,2.0,6.0,4.0,28.0,23.0,54.0,72.0
1857,1857,eebe09b9,0.54,0.46,10.0,10.0,9.0,2.0,11.0,11.0,645.0,585.0,23.0,22.0,10.0,6.0,10.0,18.0,21.0,28.0,5.0,0.0,9.0,4.0,20.0,17.0,47.0,60.0
1858,1858,5b1ecf02,0.38,0.62,7.0,16.0,8.0,3.0,8.0,19.0,513.0,751.0,16.0,12.0,7.0,12.0,11.0,17.0,24.0,19.0,1.0,0.0,11.0,7.0,21.0,24.0,39.0,52.0
1859,1859,b23c6c90,0.68,0.32,15.0,15.0,10.0,2.0,11.0,5.0,682.0,393.0,6.0,18.0,7.0,4.0,33.0,36.0,33.0,43.0,0.0,1.0,5.0,8.0,32.0,18.0,65.0,76.0
1860,1860,960ce979,0.58,0.42,13.0,9.0,9.0,1.0,18.0,7.0,685.0,550.0,20.0,14.0,3.0,7.0,36.0,29.0,35.0,48.0,4.0,1.0,4.0,9.0,24.0,24.0,90.0,79.0
1861,1861,010301bf,0.43,0.57,16.0,13.0,5.0,8.0,17.0,15.0,513.0,666.0,14.0,11.0,8.0,4.0,19.0,21.0,21.0,38.0,1.0,0.0,10.0,8.0,22.0,19.0,52.0,59.0
1862,1862,048fa915,0.58,0.42,7.0,15.0,7.0,6.0,11.0,8.0,724.0,557.0,18.0,26.0,10.0,17.0,17.0,15.0,28.0,26.0,1.0,2.0,8.0,9.0,19.0,20.0,45.0,70.0
1863,1863,d9a73d72,0.66,0.34,10.0,13.0,8.0,1.0,17.0,6.0,887.0,552.0,28.0,33.0,11.0,9.0,33.0,26.0,37.0,45.0,1.0,2.0,6.0,7.0,33.0,21.0,59.0,73.0
1864,1864,b3d5292f,0.73,0.27,11.0,9.0,5.0,0.0,11.0,0.0,945.0,417.0,20.0,22.0,6.0,6.0,13.0,14.0,4.0,21.0,1.0,1.0,7.0,12.0,18.0,19.0,46.0,60.0
1865,1865,4b8063da,0.41,0.59,8.0,9.0,2.0,8.0,6.0,14.0,576.0,748.0,20.0,19.0,8.0,5.0,9.0,13.0,36.0,11.0,6.0,3.0,9.0,3.0,19.0,24.0,49.0,65.0
1866,1866,6defd3a2,0.62,0.38,8.0,14.0,3.0,1.0,25.0,0.0,698.0,473.0,17.0,17.0,10.0,8.0,25.0,10.0,9.0,28.0,0.0,1.0,6.0,11.0,26.0,12.0,52.0,54.0
1867,1867,d7b72d7f,0.56,0.44,10.0,13.0,9.0,2.0,17.0,6.0,662.0,554.0,24.0,18.0,7.0,8.0,21.0,21.0,9.0,35.0,3.0,0.0,9.0,10.0,24.0,18.0,60.0,45.0
1868,1868,36dc1eb8,0.49,0.51,15.0,12.0,6.0,3.0,15.0,17.0,569.0,590.0,19.0,12.0,5.0,2.0,20.0,18.0,37.0,25.0,1.0,4.0,3.0,6.0,19.0,21.0,63.0,56.0
1869,1869,6edbd555,0.43,0.57,13.0,16.0,5.0,8.0,19.0,15.0,488.0,612.0,12.0,16.0,7.0,7.0,44.0,21.0,34.0,37.0,3.0,2.0,6.0,8.0,19.0,18.0,76.0,69.0
1870,1870,a8ab1213,0.59,0.41,17.0,12.0,12.0,4.0,17.0,4.0,628.0,487.0,20.0,17.0,17.0,6.0,21.0,22.0,18.0,37.0,2.0,2.0,4.0,6.0,21.0,22.0,44.0,49.0
1871,1871,1f2bd890,0.43,0.57,23.0,4.0,5.0,5.0,9.0,13.0,528.0,684.0,27.0,11.0,8.0,17.0,17.0,14.0,30.0,30.0,1.0,4.0,3.0,7.0,31.0,31.0,68.0,57.0
1872,1872,a6e8ab71,0.42,0.58,16.0,10.0,4.0,6.0,4.0,8.0,550.0,724.0,25.0,22.0,15.0,9.0,12.0,19.0,20.0,24.0,1.0,3.0,7.0,4.0,20.0,22.0,68.0,54.0
1873,1873,f66bbb03,0.38,0.62,19.0,11.0,5.0,4.0,12.0,9.0,426.0,634.0,11.0,7.0,5.0,1.0,28.0,22.0,24.0,18.0,5.0,2.0,9.0,9.0,18.0,21.0,68.0,53.0
1874,1874,850e18c6,0.42,0.58,16.0,20.0,2.0,3.0,6.0,17.0,574.0,725.0,16.0,24.0,8.0,6.0,21.0,17.0,28.0,21.0,2.0,1.0,8.0,6.0,17.0,25.0,49.0,60.0
1875,1875,9892a4f1,0.63,0.37,8.0,6.0,5.0,6.0,14.0,10.0,768.0,509.0,25.0,22.0,10.0,12.0,20.0,25.0,17.0,28.0,2.0,5.0,10.0,13.0,26.0,24.0,57.0,71.0
1876,1876,aaada016,0.71,0.29,8.0,8.0,8.0,5.0,9.0,11.0,975.0,450.0,12.0,17.0,4.0,6.0,14.0,11.0,29.0,23.0,1.0,5.0,8.0,8.0,16.0,14.0,50.0,60.0
1877,1877,9b72407a,0.48,0.52,9.0,17.0,5.0,3.0,11.0,12.0,666.0,713.0,20.0,28.0,5.0,10.0,19.0,16.0,30.0,31.0,0.0,3.0,8.0,7.0,27.0,27.0,62.0,66.0
1878,1878,ac409026,0.62,0.38,14.0,16.0,8.0,4.0,23.0,8.0,670.0,474.0,11.0,15.0,2.0,5.0,31.0,28.0,18.0,42.0,2.0,1.0,5.0,13.0,29.0,17.0,73.0,79.0
1879,1879,dc2a86e8,0.37,0.63,10.0,8.0,4.0,7.0,6.0,24.0,486.0,710.0,13.0,21.0,14.0,2.0,26.0,14.0,42.0,15.0,1.0,0.0,12.0,7.0,17.0,11.0,61.0,65.0
1880,1880,ce2fad1e,0.42,0.58,24.0,9.0,6.0,9.0,9.0,16.0,540.0,680.0,27.0,24.0,7.0,9.0,22.0,20.0,38.0,45.0,1.0,5.0,5.0,5.0,27.0,31.0,66.0,66.0
1881,1881,a7902bb1,0.24,0.76,9.0,13.0,4.0,5.0,5.0,11.0,378.0,967.0,18.0,16.0,9.0,14.0,8.0,25.0,19.0,22.0,0.0,4.0,10.0,1.0,22.0,20.0,53.0,45.0
1882,1882,5bbec2c4,0.4,0.6,17.0,12.0,2.0,5.0,7.0,10.0,561.0,704.0,34.0,14.0,8.0,3.0,16.0,25.0,42.0,10.0,2.0,1.0,5.0,7.0,21.0,35.0,54.0,50.0
1883,1883,9ae01aab,0.42,0.58,4.0,12.0,9.0,2.0,14.0,12.0,587.0,764.0,21.0,25.0,9.0,6.0,13.0,25.0,24.0,19.0,1.0,2.0,2.0,8.0,17.0,19.0,62.0,41.0
1884,1884,ed58271e,0.65,0.35,11.0,15.0,3.0,6.0,7.0,1.0,912.0,524.0,13.0,14.0,11.0,12.0,15.0,24.0,27.0,12.0,4.0,1.0,4.0,5.0,13.0,18.0,51.0,67.0
1885,1885,f6b7d570,0.49,0.51,15.0,16.0,1.0,4.0,12.0,9.0,669.0,667.0,20.0,12.0,9.0,13.0,9.0,9.0,12.0,3.0,0.0,0.0,8.0,6.0,20.0,27.0,71.0,31.0
