match_id,team_id,player_id,player_name,nation,age,minutes,shots_against,goals_allowed,saves,xGA,launched_completed,launched_attempted,passes_attempted,throws_attempted,passes_avg_length,gk_attempted,gk_avg_length,crosses_faced,crosses_stopped,defensive_actions,defensive_actions_avg_distance
3be13d0d,1ebc1a5b,d899e3bf,Brad Guzan,USA,35.109589041095894,90.0,6.0,0.0,6.0,0.6,13.0,27.0,43.0,10.0,40.0,7.0,53.4,3.0,0.0,1.0,16.7
3be13d0d,3c079def,4a51ba65,Matt Turner,USA,25.32054794520548,90.0,4.0,1.0,3.0,1.2,5.0,14.0,20.0,6.0,42.5,8.0,63.5,11.0,1.0,2.0,21.6
d8a2f323,6218ebd4,1d0a0f3e,Stefan Frei,SUI,33.4986301369863,120.0,8.0,3.0,5.0,3.1,12.0,24.0,27.0,4.0,39.8,18.0,49.6,17.0,1.0,0.0,9.8
d8a2f323,15cf8f40,203a7651,Jesse Gonzalez,MEX,24.4027397260274,120.0,9.0,4.0,4.0,2.5,5.0,17.0,22.0,3.0,35.4,10.0,47.8,7.0,0.0,1.0,9.0
a5a76142,130f43fa,5480ae05,Quentin Westberg,USA,33.484931506849314,120.0,6.0,1.0,5.0,1.7,11.0,35.0,40.0,2.0,47.0,8.0,65.4,9.0,1.0,1.0,13.7
a5a76142,44117292,012fc030,Bill Hamid,USA,28.898630136986302,120.0,16.0,5.0,11.0,3.7,9.0,25.0,25.0,5.0,46.4,11.0,57.8,8.0,2.0,0.0,10.8
f5544d20,f7d86a43,cf975d73,Nick Rimando,USA,40.339726027397255,90.0,4.0,1.0,3.0,0.7,7.0,22.0,28.0,4.0,41.1,6.0,63.7,9.0,0.0,0.0,11.0
f5544d20,d076914e,ed6320b7,Steve Clark,USA,33.51506849315069,90.0,7.0,2.0,5.0,1.6,13.0,23.0,32.0,6.0,41.8,7.0,53.3,7.0,1.0,5.0,20.6
7e51e489,46024eeb,b3b21a11,Andre Blake,JAM,28.912328767123288,120.0,5.0,3.0,2.0,1.9,4.0,13.0,26.0,9.0,34.3,9.0,40.1,9.0,0.0,1.0,14.1
7e51e489,69a0fb10,15e6b513,Luis Robles,USA,35.44383561643836,120.0,9.0,4.0,5.0,3.7,13.0,38.0,27.0,0.0,56.1,13.0,59.5,18.0,0.0,2.0,17.0
0b25f8d5,99ea75a6,c4173f1a,Vito Mannone,ITA,31.63561643835617,90.0,6.0,2.0,4.0,1.6,4.0,14.0,29.0,5.0,34.8,5.0,51.0,4.0,0.0,1.0,13.0
0b25f8d5,d8b46897,7fd42a85,David Bingham,USA,30.002739726027396,90.0,3.0,1.0,2.0,0.7,7.0,20.0,25.0,5.0,42.0,12.0,47.3,19.0,1.0,1.0,14.2
dba2d63b,64e81410,c164335e,Sean Johnson,USA,30.397260273972602,90.0,6.0,2.0,5.0,2.7,5.0,12.0,40.0,8.0,32.4,3.0,45.7,6.0,0.0,0.0,13.1
