match_id,formation_x,formation_y
d4ed5da2,4-2-3-1,4-4-2
460cbaec,4-2-3-1,3-5-2
2e639ca1,4-2-2-2,4-2-3-1
a39514a2,4-3-3,3-5-2
ef0d1886,4-4-2,4-2-3-1
36f0a636,4-3-3,4-2-3-1
382c4f2c,4-2-3-1,4-3-3
405093b2,4-4-2,3-5-2
b8687e9c,3-4-3,4-3-3
9cdd1a86,3-5-2,4-2-3-1
8c117759,4-4-2,4-2-3-1
4f912929,3-5-2,4-2-3-1
78839a33,4-2-3-1,4-4-2
42f65c02,4-1-4-1,4-2-3-1
2cd5f518,3-5-2,3-4-3
60678a27,3-5-2,3-4-3
01024937,4-4-2,3-4-1-2
df44e8f2,3-4-3,3-4-3
b0ce1c71,4-4-2,3-4-3
710723e0,4-3-3,3-5-2
07437edc,4-3-3,3-4-3
dbb50537,4-1-4-1,4-2-3-1
7505aaac,4-2-3-1,3-5-2
c214077e,3-5-2,4-2-3-1
e5b2ba9b,4-4-2,4-3-3
5d985e10,4-2-3-1,3-5-2
6469399a,4-2-3-1,4-2-3-1
0e9f3237,4-2-3-1,4-3-3
e2baa7b5,4-4-2,4-2-3-1
3b6845fd,3-4-3,4-3-3
04be7e29,4-4-2,4-3-3
0dbabba1,4-2-3-1,3-5-2
cd71d99b,3-5-2,3-4-3
5674e43c,4-2-2-2,4-2-3-1
9e0a5c20,3-5-2,3-5-2
53ba98f7,4-2-3-1,4-2-3-1
ece63dff,3-4-3,3-4-3
de11b7e9,3-4-3,4-4-2
bee2d55d,4-2-3-1,3-4-1-2
e625d868,4-3-3,3-4-3
f86e7b44,4-4-2,4-4-2
f25c526f,4-1-4-1,4-2-3-1
0c29c2ac,4-2-3-1,3-5-2
8dadcf54,3-5-1-1,3-4-3
c35d275d,4-4-2,4-1-4-1
d1a1d3ab,4-5-1,4-3-3
72136350,3-4-1-2,4-2-3-1
07919b8c,3-4-1-2,3-5-2
b563f5b3,4-2-3-1,4-4-2
1c528760,4-2-3-1,4-2-3-1
9d67b474,3-4-1-2,4-3-3
39771daa,3-5-2,4-2-3-1
b0a98271,4-4-2,3-5-2
d2a19828,4-1-4-1,4-4-2
cc8a3296,3-5-2,4-2-3-1
8b92872c,4-3-3,4-1-4-1
d60846c2,4-1-4-1,4-3-3
d94f8771,4-3-3,3-4-1-2
836fdd2c,4-3-3,3-4-3
add934f9,4-2-3-1,4-2-3-1
cd0a8be6,4-2-3-1,3-5-2
6c1cec0a,4-2-3-1,3-5-2
1f05f4dc,3-4-3,4-1-4-1
e85bc666,4-2-3-1,3-5-2
f9cede31,3-4-1-2,3-5-2
e22599a0,4-2-3-1,4-2-3-1
d95ae846,4-2-2-2,4-2-3-1
6d8fa818,3-4-3,4-4-2
233dc15c,3-4-3,4-1-4-1
af5a9fc8,3-4-1-2,3-4-1-2
f8483c4d,3-5-2,4-2-3-1
61b89764,4-4-2,4-2-3-1
66692e4a,4-2-3-1,4-4-2
a8ab74f0,4-1-4-1,3-4-3
40e6578d,4-2-3-1,4-2-3-1
bc36b10c,4-4-2,4-4-2
d55195d6,4-2-3-1,3-5-2
a50108d9,4-3-3,3-4-3
8d6d49dc,4-4-2,4-4-2
1f72fe5f,4-1-4-1,4-2-3-1
4a557fcd,4-2-3-1,4-3-3
981633aa,3-5-2,3-4-1-2
fb6052a5,3-4-3,3-5-2
