match_id,referee,ar1,ar2,fourth,var
8d9c9591,Sascha Stegemann,Christian Fischer,Mike Pickel,Patrick Alt,
f569cb4c,Bastian Dankert,René Rohde,Markus Häcker,Christian Dingert,
52768be0,Robert Hartmann,Christian Leicher,Markus Schüller,Matthias Jöllenbeck,
f2074595,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Robert Schröder,
9d50e3df,Robert Kampka,Benedikt Kempkes,Rafael Foltyn,Daniel Schlager,
fc928a8c,Guido Winkmann,Christian Bandurski,Arno Blos,Florian Badstübner,
56a09036,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Christof Günsch,
e1a4ddc7,Sascha Stegemann,Christian Fischer,Mike Pickel,Guido Winkmann,
1b5be8e3,Felix Brych,Mark Borsch,Stefan Lupp,Robert Hartmann,
453d02a5,Markus Schmidt,Martin Thomsen,Rafael Foltyn,Marcel Pelgrim,
457ab971,Harm Osmers,Florian Heft,Thomas Gorniak,Frederick Assmuth,
82b4ab22,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Sven Jablonski,
af53eee8,Manuel Gräfe,Robert Kempter,Markus Sinn,Markus Schüller,
c5ad9910,Daniel Siebert,Lasse Koslowski,Jan Seidel,Daniel Schlager,
553962af,Sören Storks,Thorben Siewer,Sven Waschitzki,Holger Henschel,
cc431807,Tobias Stieler,Thomas Stein,Christian Gittelmann,Robert Hartmann,
1813d4d3,Benjamin Brand,Robert Schröder,Frederick Assmuth,Marco Fritz,
a37a6004,Felix Brych,Mark Borsch,Stefan Lupp,Benjamin Cortus,
e0325200,Martin Petersen,Michael Emmer,Tobias Reichel,Thomas Stein,
e4babe18,Sven Jablonski,Holger Henschel,Sascha Thielert,Aarne Aarnink,
606d48b1,Guido Winkmann,Christian Bandurski,Jan Seidel,Daniel Siebert,
48c2a77b,Christian Dingert,Tobias Christ,Timo Gerach,Thorsten Schiffner,
217575c3,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Bibiana Steinhaus,
f50068e4,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Aarne Aarnink,
b19c88fe,Robert Kampka,Robert Kempter,Benedikt Kempkes,Christian Fischer,
c6286555,Frank Willenborg,Aarne Aarnink,Holger Henschel,Tobias Christ,
0dfc6664,Felix Brych,Mark Borsch,Stefan Lupp,Benjamin Brand,
ce500ce0,Harm Osmers,Dominik Schaal,Marcel Pelgrim,Martin Thomsen,
3c21482b,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Matthias Jöllenbeck,
1125997d,Markus Schmidt,Thorben Siewer,Christof Günsch,Martin Petersen,
1590e6e4,Manuel Gräfe,Markus Sinn,Jan Neitzel,Patrick Ittrich,
07819381,Bastian Dankert,René Rohde,Markus Häcker,Thomas Gorniak,
d08addf5,Robert Hartmann,Christian Leicher,Markus Schüller,Timo Gerach,
d6eae850,Benjamin Cortus,Florian Badstübner,Martin Thomsen,Norbert Grudzinski,
3681c035,Christian Dingert,Tobias Christ,Jan Neitzel,Robert Kempter,
f8a05ecc,Daniel Siebert,Lasse Koslowski,Jan Seidel,Markus Schmidt,
201cd31a,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Dominik Schaal,
025873f1,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Frank Willenborg,
41e9fba5,Sascha Stegemann,Christian Fischer,Mike Pickel,Guido Winkmann,
bb7d0d6e,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Daniel Schlager,
bb91fda7,Manuel Gräfe,Guido Kleve,Markus Sinn,Tobias Reichel,
3214d59a,Bastian Dankert,René Rohde,Markus Häcker,Holger Henschel,
fdd92607,Bibiana Steinhaus,Christof Günsch,Thomas Stein,Florian Heft,
a9d5d2bf,Benjamin Brand,Robert Schröder,Frederick Assmuth,Eduard Beitinger,
8c42066b,Robert Hartmann,Christian Leicher,Markus Schüller,Christian Dingert,
ee9e4bab,Bastian Dankert,Markus Häcker,Rafael Foltyn,Florian Heft,
937c962a,Daniel Siebert,Lasse Koslowski,Jan Seidel,Timo Gerach,
510f2e4a,Guido Winkmann,Christian Bandurski,Arno Blos,Robert Kampka,
b1d57dce,Frank Willenborg,Aarne Aarnink,Holger Henschel,Mike Pickel,
ca1491c0,Tobias Stieler,Sascha Thielert,Christian Gittelmann,Christian Dietz,
213ca3fd,Sören Storks,Thorben Siewer,Michael Emmer,Jan Neitzel,
4112421a,Benjamin Cortus,Florian Badstübner,Thomas Stein,Norbert Grudzinski,
123f83ae,Deniz Aytekin,Eduard Beitinger,Michael Emmer,Patrick Alt,
adb3ac02,Christian Dingert,Tobias Christ,Timo Gerach,Jan Seidel,
63978a6a,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Sven Jablonski,
d24ad27a,Manuel Gräfe,Robert Kempter,Markus Sinn,Frederick Assmuth,
ff7fdc64,Harm Osmers,Sven Waschitzki,Thomas Gorniak,Christian Gittelmann,
3b9df3e3,Sascha Stegemann,Marco Achmüller,Mike Pickel,Aarne Aarnink,
bbc05ea2,Robert Kampka,Dominik Schaal,Marcel Pelgrim,Sören Storks,
ae539f2b,Markus Schmidt,Thorben Siewer,Daniel Schlager,Markus Häcker,
c3bfaffc,Martin Petersen,Tobias Reichel,Christian Fischer,Rafael Foltyn,
a1893670,Guido Winkmann,Christian Bandurski,Arno Blos,Sven Waschitzki,
7911edf3,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Dominik Schaal,
644c1529,Benjamin Brand,Robert Schröder,Martin Thomsen,Patrick Alt,
5c318430,Manuel Gräfe,Guido Kleve,Markus Sinn,Aarne Aarnink,
4d86918b,Bibiana Steinhaus,Christof Günsch,Thomas Stein,Robert Kempter,
0e20e687,Sven Jablonski,Holger Henschel,Thomas Gorniak,Daniel Schlager,
5bc98bc7,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Frank Willenborg,
ed957090,Daniel Siebert,Lasse Koslowski,Jan Seidel,Tobias Reichel,
7bdb23f3,Robert Hartmann,Christian Leicher,Markus Schüller,Alexander Sather,
73de6f40,Markus Schmidt,Christian Gittelmann,Rafael Foltyn,Bibiana Steinhaus,
b5015ae9,Benjamin Brand,Alexander Sather,Marco Achmüller,Jan Neitzel,
3020841e,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,René Rohde,
ad16335a,Christian Dingert,Tobias Christ,Timo Gerach,Markus Sinn,
ad6a5d57,Robert Kampka,Robert Kempter,Benedikt Kempkes,Christian Bandurski,
f7c70334,Benjamin Cortus,Daniel Schlager,Florian Badstübner,Markus Schüller,
c94385e6,Harm Osmers,Florian Heft,Thomas Gorniak,Guido Kleve,
f9d3b3de,Sören Storks,Martin Thomsen,Sven Waschitzki,Mike Pickel,
d3d3adc1,Frank Willenborg,Aarne Aarnink,Holger Henschel,Michael Emmer,
3697cc06,Daniel Siebert,Lasse Koslowski,Alexander Sather,Marcel Pelgrim,
041ec31e,Sascha Stegemann,Christian Fischer,Mike Pickel,Aarne Aarnink,
8defd102,Bastian Dankert,René Rohde,Markus Häcker,Norbert Grudzinski,
d4ed5da2,Manuel Gräfe,Guido Kleve,Dominik Schaal,Timo Gerach,
460cbaec,Robert Hartmann,Christian Leicher,Markus Schüller,Thorben Siewer,
2e639ca1,Felix Brych,Mark Borsch,Stefan Lupp,Florian Badstübner,
a39514a2,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Thomas Stein,
ef0d1886,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Benedikt Kempkes,
36f0a636,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Christian Bandurski,
382c4f2c,Christian Dingert,Tobias Christ,Timo Gerach,Jan Seidel,
